code,province,city,latitude,longitude,elementary_school_count,kindergarten_count,university_count,academy_ratio,elderly_population_ratio,elderly_alone_ratio,nursing_home_count
10000,Seoul,Seoul,37.57,126.98,607.00,830.00,48.00,1.44,15.38,5.80,22739.00
10010,Seoul,Gangnam-gu,37.52,127.05,33.00,38.00,0.00,4.18,13.17,4.30,3088.00
10020,Seoul,Gangdong-gu,37.53,127.12,27.00,32.00,0.00,1.54,14.55,5.40,1023.00
10030,Seoul,Gangbuk-gu,37.64,127.03,14.00,21.00,0.00,0.67,19.49,8.50,628.00
10040,Seoul,Gangseo-gu,37.55,126.85,36.00,56.00,1.00,1.17,14.39,5.70,1080.00
10050,Seoul,Gwanak-gu,37.48,126.95,22.00,33.00,1.00,0.89,15.12,4.90,909.00
10060,Seoul,Gwangjin-gu,37.54,127.08,22.00,33.00,3.00,1.16,13.75,4.80,723.00
10070,Seoul,Guro-gu,37.50,126.89,26.00,34.00,3.00,1.00,16.21,5.70,741.00
10080,Seoul,Geumcheon-gu,37.46,126.90,18.00,19.00,0.00,0.96,16.15,6.70,475.00
10090,Seoul,Nowon-gu,37.65,127.06,42.00,66.00,6.00,1.39,15.40,7.40,952.00
10100,Seoul,Dobong-gu,37.67,127.05,23.00,26.00,1.00,0.95,17.89,7.20,485.00
10110,Seoul,Dongdaemun-gu,37.57,127.04,21.00,31.00,4.00,1.06,17.26,6.70,832.00
10120,Seoul,Dongjak-gu,37.51,126.96,21.00,34.00,3.00,1.17,15.85,5.20,762.00
10130,Seoul,Mapo-gu,37.57,126.90,22.00,24.00,2.00,1.83,14.05,4.90,929.00
10140,Seoul,Seodaemun-gu,37.58,126.94,19.00,25.00,6.00,1.12,16.77,6.20,587.00
10150,Seoul,Seocho-gu,37.48,127.03,24.00,27.00,1.00,2.60,13.39,3.80,1465.00
10160,Seoul,Seongdong-gu,37.56,127.04,21.00,30.00,2.00,0.97,14.76,5.30,593.00
10170,Seoul,Seongbuk-gu,37.59,127.02,29.00,49.00,6.00,1.02,16.15,6.00,729.00
10180,Seoul,Songpa-gu,37.51,127.11,40.00,51.00,1.00,1.65,13.10,4.10,1527.00
10190,Seoul,Yangcheon-gu,37.52,126.87,30.00,43.00,0.00,2.26,13.55,5.50,816.00
10200,Seoul,Yeongdeungpo-gu,37.53,126.90,23.00,39.00,0.00,1.21,15.60,5.80,1001.00
10210,Seoul,Yongsan-gu,37.53,126.99,15.00,13.00,1.00,0.68,16.87,6.50,435.00
10220,Seoul,Eunpyeong-gu,37.60,126.93,31.00,44.00,1.00,1.09,17.00,6.50,874.00
